目标板块,匹配板块,类型,匹配分数,匹配方式,1日涨跌幅%,5日涨跌幅%,20日涨跌幅%,成交额放量倍数,主力净流入_今日,主力净占比_今日%,主力净流入_5日,主力净流入_10日,景气度分,短线标签
固态电池/储能/新能源科技,固态电池,concept,1.0,exact:固态电池,-1.6153851754945991,-3.4564188977971977,2.698892067119485,0.981939816566657,,,,,-1.083346153070757,中性轮动
光模块/光通信,通信设备,industry,1.0,exact:通信设备,-2.2458958413381858,-5.852344949395649,4.407644076012418,1.0001686308307545,813000000.0000001,,,5638000000.0,-1.615127931199858,中性轮动
卫星互联网/商业航天,商业航天,concept,1.0,exact:商业航天,-2.1787913277296234,-4.330469512708623,1.4680147210850425,1.005832086586873,,,,,-1.6286592178425687,中性轮动
PEEK材料,PEEK材料,concept,1.0,exact:peek材料,-3.431845468749173,-4.82843147964468,2.764771491982976,0.9922392620627946,,,,,-1.8621695029149041,中性轮动
低空经济/eVTOL,低空经济,concept,1.0,exact:低空经济,-2.3104493243823243,-4.8707146442871,-1.0409021180677436,0.9949525702954096,,,,,-2.4002575625134503,低位观察
AI应用软件,AI应用,concept,1.0,exact:AI应用,-2.5741078529686434,-6.096621054407669,-4.105464237927392,0.9316799422991772,,,,,-3.811332075726005,低位观察
AI智能体/Agent,AI智能体,concept,1.0,exact:AI智能体,-2.7144081433597034,-6.52788058669429,-3.4625308081811523,0.8788706173511022,,,,,-4.1257929088956615,低位观察
医美美妆/美容护理,美容护理,industry,1.0,exact:美容护理,-0.9895240746155443,-4.7824345681096725,-8.891092233109909,0.8790756247724455,-119000000.0,,36000000.0,,-4.254597236521249,滞涨吸金
信创/国产软件,信创,concept,1.0,exact:信创,-3.1816821974271603,-7.328370773483228,-3.400122160077601,0.9182107033310581,,,,,-4.290237125564791,低位观察
多模态AI,多模态AI,concept,1.0,exact:多模态AI,-2.7869348381697745,-7.111003952921536,-3.3136875019331824,0.8788750215277515,,,,,-4.3146007439043705,低位观察
数据要素,数据要素,concept,1.0,exact:数据要素,-2.736747666553163,-7.1000480081768735,-4.54547865508752,0.8191990560218235,,,,,-4.845466787080925,低位观察
化工,化学原料,industry,1.0,exact:化学原料,-2.873417334752948,-6.2979748593455565,-8.393539343044443,0.9101481106186396,,,,,-4.906941983237225,低位观察
AI算力,算力租赁,concept,1.0,exact:算力租赁,-3.286277952673322,-8.89311017193808,-1.907394609536972,0.834830084569707,,,,,-4.977172649771852,低位观察
算力租赁/IDC,算力租赁,concept,1.0,exact:算力租赁,-3.286277952673322,-8.89311017193808,-1.907394609536972,0.834830084569707,,,,,-4.977172649771852,低位观察
网络安全,网络安全,concept,1.0,exact:网络安全,-3.16176566086116,-7.388821031590098,-3.8075665445362783,0.7960321636099688,,,,,-4.999792984086178,低位观察
AI服务器,云计算,concept,1.0,exact:云计算,-3.347168305063941,-8.569122862728262,-3.9890986260962213,0.808462018312793,,,,,-5.424136296622959,低位观察
大模型平台,,,0.0,unmatched,,,,,,,,,,未匹配
